분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,불법주정차 단속 및 주정차 차단봉 설치 요청 (1),5,31,2
건설ㆍ교통,소음,5,31,2
건설ㆍ교통,가로등,5,30,2
건설ㆍ교통,무등중 앞 상수도공사후 지반에서 물올라옴 (1),5,29,2
건설ㆍ교통,번호판 미인식으로 불수용,5,28,2
건설ㆍ교통,불법주정차,5,28,2
건설ㆍ교통,큰 소리로 놀래요,5,28,2
건설ㆍ교통,살레시오여고 일방로 오토바이 주차단속 (3),5,27,2
건설ㆍ교통,공사차량 불법인도점령 및 차량방지봉 훼손,5,27,2
건설ㆍ교통,동명동 거주자 우선 주차,5,26,2
건설ㆍ교통,조선대 사거리 법원방향 직진차선 개선바람 (1),5,26,2
건설ㆍ교통,통행불편,5,26,2
건설ㆍ교통,도로 맨홀이 너무 낮아 운전하는데 위험합니다.,5,26,2
건설ㆍ교통,불법주차 강력히 단속해 주세요!!!!!,5,25,2
건설ㆍ교통,도로파손으로 인해 어르신들이불편을느끼십니다,5,25,2
건설ㆍ교통,무등산관광호텔 올라가는 입구철조망 철거,5,25,2
건설ㆍ교통,주차단속에 대해,5,25,2
건설ㆍ교통,관리규약 개정2,5,25,2
건설ㆍ교통,건설현장 먼지 (1),5,25,2
건설ㆍ교통,시내 노점상,5,25,2
건설ㆍ교통,파손된 인도 규제봉 정비 바랍니다 (1),5,25,2
건설ㆍ교통,예술의거리입구 버스정류장 앞 도로파임 (1),5,24,2
건설ㆍ교통,하천옆 비좁은 도로 차량통행 출입금지 조치해 주세요.. (1),5,24,2
건설ㆍ교통,관리규약 개정제안 1,5,24,2
건설ㆍ교통,문제의 광신건설사와 동구청,5,24,2
건설ㆍ교통,아파트 입주민의 재산권을 침해당하는 공사가 진행되고 있습니다.,5,24,2
건설ㆍ교통,조폭 건설사 광신!! (4),5,24,2
건설ㆍ교통,"무등산 명지로드힐 도로 공사로 인한 영업피해 및 소음,진동",5,24,2
건설ㆍ교통,가로등 수리,5,23,2
건설ㆍ교통,실외기 바람 관련 문의드립니다,5,22,2
건설ㆍ교통,불법주차신고합니다,5,21,2
건설ㆍ교통,광주천 자전거도로 공사 잘좀 해주세요,5,21,2
건설ㆍ교통,스쿨존 내 도로 보수 요청 (1),5,21,2
건설ㆍ교통,황금동 노점상 단속 촉구,5,20,2
건설ㆍ교통,월남동 버스차고지 이전 관련,5,19,2
건설ㆍ교통,사고다발지점,5,19,2
건설ㆍ교통,동명병원 신축공사는 휴일에도 진행 중 (2),5,19,2
